Datetime,Open,High,Low,Close,Adj Close,Volume
2024-02-05 09:30:00-05:00,184.25999450683594,184.67999267578125,184.02000427246094,184.22000122070312,184.22000122070312,2905700
2024-02-05 09:31:00-05:00,184.2104949951172,184.22000122070312,183.36199951171875,183.75,183.75,824374
2024-02-05 09:32:00-05:00,183.77000427246094,184.30999755859375,183.7100067138672,183.83599853515625,183.83599853515625,745402
2024-02-05 09:33:00-05:00,183.85000610351562,184.16600036621094,183.57000732421875,183.77310180664062,183.77310180664062,514132
2024-02-05 09:34:00-05:00,183.78750610351562,184.1699981689453,183.64999389648438,183.92999267578125,183.92999267578125,449385
2024-02-05 09:35:00-05:00,183.9010009765625,184.4600067138672,183.58999633789062,184.4600067138672,184.4600067138672,601579
2024-02-05 09:36:00-05:00,184.4492950439453,184.52999877929688,183.36000061035156,183.4929962158203,183.4929962158203,685522
2024-02-05 09:37:00-05:00,183.49000549316406,183.84359741210938,183.35000610351562,183.47000122070312,183.47000122070312,463306
2024-02-05 09:38:00-05:00,183.42799377441406,183.49000549316406,182.88999938964844,182.9199981689453,182.9199981689453,702855
2024-02-05 09:39:00-05:00,182.89999389648438,183.02999877929688,182.63999938964844,182.8249053955078,182.8249053955078,572319
2024-02-05 09:40:00-05:00,182.8448028564453,182.9499969482422,182.55999755859375,182.6999969482422,182.6999969482422,506558
2024-02-05 09:41:00-05:00,182.6999969482422,182.97000122070312,182.55599975585938,182.92999267578125,182.92999267578125,363398
2024-02-05 09:42:00-05:00,182.9199981689453,183.14999389648438,182.64999389648438,183.03500366210938,183.03500366210938,450056
2024-02-05 09:43:00-05:00,183.0449981689453,183.0500030517578,182.5800018310547,182.61500549316406,182.61500549316406,381086
2024-02-05 09:44:00-05:00,182.61500549316406,182.8000030517578,182.50999450683594,182.5731964111328,182.5731964111328,335121
2024-02-05 09:45:00-05:00,182.5800018310547,183.47340393066406,182.5399932861328,183.27000427246094,183.27000427246094,669480
2024-02-05 09:46:00-05:00,183.25,183.27999877929688,182.92999267578125,182.95989990234375,182.95989990234375,292574
2024-02-05 09:47:00-05:00,182.94459533691406,183.25,182.89059448242188,183.04299926757812,183.04299926757812,310114
2024-02-05 09:48:00-05:00,183.02000427246094,183.1199951171875,182.77000427246094,182.8101043701172,182.8101043701172,312716
2024-02-05 09:49:00-05:00,182.83999633789062,182.86000061035156,182.34010314941406,182.35009765625,182.35009765625,583747
2024-02-05 09:50:00-05:00,182.37989807128906,182.41050720214844,182.076904296875,182.11000061035156,182.11000061035156,536443
2024-02-05 09:51:00-05:00,182.10980224609375,182.1999969482422,182.00999450683594,182.03799438476562,182.03799438476562,438105
2024-02-05 09:52:00-05:00,182.0399932861328,182.38999938964844,181.88999938964844,182.32000732421875,182.32000732421875,862738
2024-02-05 09:53:00-05:00,182.32470703125,182.44000244140625,182.16879272460938,182.42860412597656,182.42860412597656,335343
2024-02-05 09:54:00-05:00,182.4199981689453,182.88999938964844,182.30999755859375,182.76150512695312,182.76150512695312,481827
2024-02-05 09:55:00-05:00,182.77999877929688,182.8300018310547,182.42999267578125,182.49000549316406,182.49000549316406,365455
2024-02-05 09:56:00-05:00,182.49000549316406,182.50999450683594,182.20799255371094,182.44200134277344,182.44200134277344,334846
2024-02-05 09:57:00-05:00,182.42999267578125,182.47000122070312,182.25999450683594,182.31480407714844,182.31480407714844,441705
2024-02-05 09:58:00-05:00,182.30999755859375,182.38999938964844,182.25999450683594,182.36000061035156,182.36000061035156,244045
2024-02-05 09:59:00-05:00,182.36500549316406,182.6999969482422,182.32000732421875,182.6300048828125,182.6300048828125,354781
2024-02-05 10:00:00-05:00,182.60000610351562,182.67990112304688,182.25,182.41200256347656,182.41200256347656,412707
2024-02-05 10:01:00-05:00,182.38999938964844,182.4770050048828,181.843505859375,181.88999938964844,181.88999938964844,649840
2024-02-05 10:02:00-05:00,181.91000366210938,182.0,181.3699951171875,181.435302734375,181.435302734375,759805
